Type of Vehicles,I. Multiaxled/Articulated vehicles,II. Trucks & Lorries,a) Four wheelers,b) Three wheelers,a) Stage carriages,b) Contract carriages,c) Private Service Vehicles,d) Other buses,a) Motor cabs,b) Maxi cabs,c) Other taxis,a) Three seaters,b) Four to six seaters,VII. Motor cycles On Hire,a) Scooters,b) Mopeds,c) Motor cycles,II. Cars,III. Jeeps,IV. Omni buses,V. Tractors,VI. Trailers,VII. Other vehicles not covered
Agra (31.3.2016),120,4224,5902,12052,655,299,298,292,1310,156,152,0,7375,0,77096,8261,668856,80043,6639,4281,43102,116,1472
Ahmedabad (31.3.2016),3412,39222,38142,60358,20556,6041,2393,1635,14644,5455,NA,NA,NA,NA,2300290,292826,NA,578846,30831,NA,52101,28601,11241
Allahabad (31.3.2016),7042,8421,12764,4655,571,164,258,1301,2611,257,0,5292,8839,0,108749,50989,654023,80305,79888,53,31152,10,2435
Alappuzha (31.3.2016),668,2733,4969,2232,529,1504,96,0,2693,0,128,NA,10990,0,NA,NA,137675,29499,NA,NA,272,0,2323
Aurangabad (31.3.2016),0,5300,10093,12158,2277,557,807,409,0,1052,0,10765,0,0,341555,19048,298564,22349,11896,183,9445,5960,2255
Bengaluru (31.3.2016),39041,59086,70970,42352,14485,1622,10347,5412,64594,32715,10867,162932,30123,NA,NA,NA,NA,1191541,7485,48392,9830,7694,27738
Bhopal (31.3.2016),3651,7456,14532,8828,450,0,469,4274,8241,1886,0,12465,1642,71,261563,25260,491645,180564,8448,16948,10262,73,1882
Chandigarh (31.3.2016),0,1870,6013,2785,519,164,908,1138,1194,451,202,4521,0,0,NA,NA,NA,NA,NA,NA,NA,NA,817172
Chennai (31.3.2016),43294,62351,69209,22148,9589,14364,3787,13814,77342,33914,2256,109562,9236,NA,726727,595727,2193608,860932,12584,8795,2757,11774,54218
Coimbatore (31.3.2016),2484,12956,13160,7675,2923,582,1366,3576,17572,5681,483,16626,785,0,334884,323128,889383,232751,5684,309,9445,1224,21233
Delhi (31.3.2015),0,7503,NA,62558,1548,6823,0,11324,NA,NA,NA,0,NA,0,NA,105271,5592971,2730071,67144,5,100,0,493
Dhanbad (31.3.2016),0,26654,8768,2291,856,0,0,606,0,0,8333,15252,0,0,27215,1338,429002,63746,12059,0,4273,3701,105
Durg-Bhilai (31.3.2016),743,15401,9361,3679,938,103,6947,272,1042,184,0,2170,3379,0,474061,119188,89105,54138,1655,1093,20257,10687,2343
Ghaziabad (31.3.2016),1313,4648,8651,1177,215,624,1070,1607,4531,275,323,18367,2884,0,166924,25293,409154,168705,3286,858,18972,0,854
Greater Mumbai (31.3.2016),11,8171,27611,36998,4450,5201,1103,3323,50584,37229,0,119245,0,NA,569737,33915,1024668,857708,32310,3868,203,96,3221
Gwalior (31.3.2016),5634,6551,7284,2688,523,0,573,2192,743,863,0,8126,2399,37,178972,39636,283608,56207,4006,5718,23784,0,4680
Hyderabad (31.3.2015),853,24888,45423,14183,4352,804,727,3414,15645,3783,3445,NA,87370,3,0,39801,1667913,402334,7089,22322,1330,40,23099
Indore (31.3.2016),24198,30384,29000,13327,97,1,718,5403,4661,1704,0,19455,1982,191,479644,51203,821396,260756,4387,29170,26844,96,6126
Jabalpur (31.3.2016),5971,7399,10372,6743,238,0,38,1860,3112,1525,0,7107,450,0,170391,40810,308290,71311,2479,9125,12394,0,3227
Jaipur (31.3.2016),NA,83262,5742,14611,NA,NA,NA,NA,NA,NA,NA,27448,6128,NA,NA,NA,NA,333587,71618,NA,48496,2911,NA
Jamshedpur (31.3.2016),17,503,743,447,79,NA,NA,NA,NA,323,NA,NA,280,0,15615,1929,31465,5554,1091,0,319,286,0
Jodhpur (31.3.2016),NA,56782,3155,10273,NA,NA,NA,NA,NA,NA,NA,12854,2316,NA,NA,NA,NA,74551,28758,NA,64339,8679,NA
Kannur (31.3.2016),1509,2404,5410,3188,1588,1307,101,0,1456,0,725,0,12827,0,NA,NA,128242,49107,NA,NA,75,0,3801
Kanpur (31.3.2016),270,26155,4202,4065,100,106,12,803,710,305,0,3379,3387,0,268314,39701,928428,158417,80844,9271,13495,196,3
Kochi (31.3.2016),1831,5637,11439,5868,1177,3283,471,NA,4906,0,297,0,16910,0,0,0,295726,145470,0,0,346,0,7986
Kolkata (31.3.2016),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,327388,NA,NA,94,NA,1209
Kollam (31.3.2016),773,3394,6858,4091,716,1960,101,1,1605,0,235,0,18023,0,NA,NA,197433,63970,0,0,105,0,3436
Kota (31.3.2016),NA,19664,1465,1872,NA,NA,NA,NA,NA,NA,NA,9749,3366,NA,NA,NA,NA,56609,16819,NA,26733,8618,NA
Kozhikode (31.3.2016),1570,5437,7799,6462,1812,1640,150,NA,3348,0,277,0,20458,NA,0,0,312351,77119,0,NA,136,0,4726
Lucknow (31.3.2016),3528,8422,17589,3408,172,11,114,3020,6698,538,2263,4397,3170,0,388822,71702,1001345,246766,26082,440,23744,1724,4140
Madurai (31.3.2016),852,13301,9090,3392,3181,183,468,2874,12029,5174,479,21180,905,0,126636,138350,528524,68804,1607,79,7069,2243,10121
Malappuram (31.3.2016),5999,5082,10302,6406,1904,1707,51,0,1933,0,124,0,28199,NA,NA,NA,166563,65559,NA,NA,587,0,6815
Meerut (31.3.2016),835,6596,6952,754,704,299,0,1504,1225,158,22,4860,3256,0,100711,13978,338423,73448,625,14,11217,27,1097
Nagpur (31.3.2016),1251,15573,20087,10398,1739,1111,1334,1755,13,4394,0,14904,0,NA,344553,283427,594711,126684,36778,842,5569,5437,4657
Nashik (31.3.2016),37,6131,14236,5904,470,685,100,377,1040,1631,0,15962,0,NA,98578,26528,377281,69744,10884,78,34206,7855,5337
Palakkad (31.3.2016),1732,3138,4584,3605,982,1548,118,0,1417,0,141,NA,15846,0,NA,NA,174798,38031,0,0,1507,0,3513
Patna (31.3.2016),3826,33106,5105,4746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,787254,150078,33630,NA,23047,13458,4246
Pune (31.3.2016),3275,22548,31669,25001,2082,5198,1043,1792,221,7940,NA,36899,NA,NA,372978,160136,1367143,407335,34304,718,18896,10305,9150
Raipur (31.3.2016),6327,52145,19888,5411,1089,269,12127,341,4942,429,0,11310,1149,0,650548,115396,160888,93145,1531,1812,40001,28077,6403
Rajkot (31.3.2016),1859,27353,22196,30428,391,3483,2960,972,2358,0,NA,NA,NA,0,1137301,277552,NA,175747,4978,NA,42765,33702,7319
Ranchi (31.3.2016),0,5627,8986,1286,1771,63730,0,NA,1047,3543,563,25146,1148,0,97572,22766,204902,71206,19941,1506,11221,4454,66360
Srinagar (31.3.2016),0,13056,4900,7143,4970,0,2090,454,0,7262,2213,11979,0,NA,27684,6087,84145,90639,6151,0,1767,111,1717
Surat (31.3.2016),962,29709,26423,35972,205,1986,1042,1246,3224,1184,NA,NA,NA,NA,1846541,226284,NA,342869,17580,NA,19322,11068,3963
Trichy (31.3.2016),2443,11136,5677,8860,2928,157,172,1510,7151,2884,141,10257,524,0,100280,252613,284068,58712,1002,78,6309,1522,5915
Thiruvanathapuram (31.3.2016),1222,4884,8194,4541,4069,4453,1288,0,3098,0,988,33257,NA,NA,0,0,372164,164658,0,0,308,0,8769
Thrissur (31.3.2016),2985,4349,7270,6043,2603,2456,246,NA,3526,0,207,0,23371,NA,0,0,247786,80189,0,0,905,0,5505
Varanasi (31.3.2016),4376,8378,14815,6895,1733,436,1598,1823,4555,185,2598,14116,2580,0,102232,40248,472388,56146,14551,80,16862,9357,1178
Vijayawada (31.3.2016),2049,23212,9630,8400,1724,473,174,1775,5425,1306,781,NA,28493,0,0,48746,440485,59517,1032,2130,8011,5665,13990
Vadodara (31.3.2016),8442,26253,27937,19538,159,3184,2122,485,8894,4788,0,NA,NA,NA,1054758,372276,NA,226411,17783,NA,33300,17475,5185
Visakhapatnam (31.3.2016),1799,10775,8259,3318,1128,568,263,1175,2635,1991,3646,NA,35453,0,0,1878,610432,87161,1394,2225,1216,105,7169
